year,quarter,mp_shock
1969,1,-0.2320548840292442
1969,2,0.6887066901752215
1969,3,0.4942577025957955
1969,4,0.1692441771267321
1970,1,-0.5862742874869307
1970,2,-0.026502408797775
1970,3,-0.9445883096065906
1970,4,-0.612179636939776
1971,1,-0.9117555148915208
1971,2,0.8949234008535902
1971,3,-0.1023865110682394
1971,4,-1.558685769933305
1972,1,-0.1262130575885845
1972,2,-0.3480993106736454
1972,3,-0.1140452277598074
1972,4,-0.060317554128458
1973,1,0.539447092976916
1973,2,0.5934076647327862
1973,3,-0.2436699379057625
1973,4,-1.214257686226125
1974,1,0.7468177446959157
1974,2,1.011598148092789
1974,3,-0.6349080794374062
1974,4,-0.3133249081977851
1975,1,-0.6166593415971402
1975,2,-0.248207571060675
1975,3,-0.1969081121723102
1975,4,-0.2988746984166522
1976,1,-0.8316845113108027
1976,2,-0.1482352570939005
1976,3,-0.2096971801145285
1976,4,-0.2161688790639197
1977,1,-0.4895348769142611
1977,2,-0.3341873327101395
1977,3,-0.2173344217223989
1977,4,-0.2254054280805025
1978,1,-0.1539220393943285
1978,2,-0.1474253548304834
1978,3,-0.41639128343287
1978,4,0.2370156922001896
1979,1,-0.1020096180279362
1979,2,-0.0278101112489333
1979,3,0.9077196505800096
1979,4,0.1013607352247208
1980,1,1.850599628789064
1980,2,-4.141690689085443
1980,3,1.188772713012751
1980,4,2.525089004219041
1981,1,-0.4379643862143503
1981,2,1.557127745666804
1981,3,-0.7366011249499573
1981,4,-0.880668373663327
1982,1,0.6249647647367915
1982,2,-0.0909688331871079
1982,3,-0.4448125524478819
1982,4,0.4622730635750889
1983,1,0.3472811213706315
1983,2,-0.0377573299815048
1983,3,-0.2024462228916053
1983,4,0.2822978822192166
1984,1,0.1546820645133469
1984,2,0.1404697003714297
1984,3,0.2923052694209338
1984,4,-0.7534434338522542
1985,1,0.095786469444139
1985,2,-0.1504117910230764
1985,3,0.2591935930150671
1985,4,0.0796897902557812
1986,1,-0.0942499078499148
1986,2,0.2846754870990491
1986,3,-0.3964142986902757
1986,4,-0.0204836003637414
1987,1,0.4371514656438507
1987,2,0.2638190459813394
1987,3,-0.1638793916937831
1987,4,-0.1998930962322767
1988,1,-0.0901677273501251
1988,2,0.5923839416421952
1988,3,-0.2145119396664152
1988,4,0.4538836125149024
1989,1,0.3313693667105966
1989,2,0.1465711511177723
1989,3,-0.0533105257259958
1989,4,0.0374707542686235
1990,1,0.2630052853026972
1990,2,0.0458044825903103
1990,3,0.0734199168338172
1990,4,-0.1552159665428543
1991,1,0.0410941672974516
1991,2,0.2382603257183433
1991,3,0.0730808134543541
1991,4,0.0068398231233687
1992,1,-0.0163525453373023
1992,2,0.1567944689205056
1992,3,-0.0489271697833012
1992,4,-0.2888155932453413
1993,1,0.0642758718967333
1993,2,0.331314930744071
1993,3,0.2781109314908368
1993,4,-0.1872137621892693
1994,1,0.6006934702877018
1994,2,0.3254744381143517
1994,3,0.5933170394924252
1994,4,0.3973755914821062
1995,1,0.7689056246921275
1995,2,0.2327755219514636
1995,3,0.0359350042720845
1995,4,-0.014169651675445
1996,1,0.1426657126450523
1996,2,0.0038590871215441
1996,3,-0.0275585026616165
1996,4,0.0880493918174935
1997,1,0.1304030760421728
1997,2,0.1057725270223804
1997,3,-0.1456173660797049
1997,4,-0.0733609510307965
1998,1,-0.052863204253303
1998,2,-0.0658369942995973
1998,3,-0.0453274608238701
1998,4,-0.3132899049589746
1999,1,-0.2647597542229789
1999,2,0.1513774364113925
1999,3,0.2613059898194372
1999,4,-0.1609786028157014
2000,1,0.0237217420792062
2000,2,0.3717503316131001
2000,3,-0.0604119750610379
2000,4,0.1254498725605455
2001,1,-0.4555250032593285
2001,2,-0.5676109999943222
2001,3,-0.1315961816604485
2001,4,-0.3903427231018188
2002,1,-0.5318204315997601
2002,2,0.2123917462023144
2002,3,0.1062941581510537
2002,4,-0.285747361738609
2003,1,0.020703972418835
2003,2,-0.2338380572779641
2003,3,-0.2773089779429228
2003,4,-0.4295879226178254
2004,1,-0.0377152903618256
2004,2,0.0298566450954807
2004,3,0.4355794522462872
2004,4,0.4635854341384604
2005,1,0.171481710842472
2005,2,0.5409934697712497
2005,3,0.315856450540219
2005,4,0.2750378615219087
2006,1,0.2132920000057021
2006,2,0.6168022132009039
2006,3,0.1287272579701741
2006,4,-0.0140786881109904
2007,1,0.0881038971594652
2007,2,-0.0850368210390161
2007,3,-0.5749540070301242
2007,4,-0.3866391804823208
